seg_id,mean_ssa_1991_2021,river_name,tier,updated_tier,long_term_mean
3883,-0.4891676014695448,Ramganga,2,2,91.00373475645539
4001,-0.48859363487326923,Gomti,2,2,25.345852470657274
3817,-0.4873664025026178,Ganga,1,1,1.8865029337206574
3503,-0.48661947809319195,Karwan,4,4,12.940078862323944
3823,-0.4846918324247767,Non,4,4,7.076609378215962
3796,-0.4820989787041327,Garra,4,4,3.7866598444600936
4424,-0.47796834474317546,Ghaghara,1,1,48.77833181619719
4763,-0.47533185342953604,Sarju,3,3,3.901484470762911
3882,-0.47516143301627656,Ramganga,2,2,58.11465458333334
3815,-0.4730715357827797,Ganga,1,1,3.7096562994248825
4000,-0.4724075543646688,Gomti,2,2,20.6218797834507
4429,-0.47238210631278243,Bansi,5,5,19.076305906807512
3931,-0.47052310612988857,Gomti,2,2,319.72867764788737
3539,-0.4701903800660816,Karwan,4,4,20.997551384624412
3932,-0.4693802660153735,Gomti,2,2,327.11506225352116
3977,-0.4693785828172463,Sai,3,3,31.17908987734742
3538,-0.46852006248837624,Karwan,4,4,19.640725876995308
3316,-0.4667559685812045,Shallu,5,5,7.118451696514084
3541,-0.4664619331058562,Karwan,4,4,1.9538128565610329
3994,-0.4636062036144838,Kadhu,5,5,15.15072081056338
4009,-0.4633673184158324,Sai,3,3,2.8922887907511736
3982,-0.46295935669865274,Kadhu,5,5,10.353573054929576
4719,-0.45998885978839327,Ghaghara,1,1,3.4358236440258216
4005,-0.4589225817568977,Tamasa,3,3,12.754661771126761
3974,-0.4582969963992973,Sai,3,3,2.6433009718661973
3881,-0.4556618919262533,Khoh,4,4,17.33937077100939
4721,-0.4545785202403708,Ghaghara,1,1,26.124770981220657
3980,-0.45435434635505695,Kadhu,5,5,4.141441269659625
3303,-0.4534090719850067,Yamuna,1,1,1.5826444804577466
3813,-0.4530291103679091,Sai,3,3,24.888880846713615
3874,-0.45259015849902007,Ramganga,2,2,130.17149750528168
3806,-0.45117403190365146,Ganga,1,1,4.350190401173709
4770,-0.4497872149482634,Man,5,5,11.506936119366198
4217,-0.44718208374289703,Purvi Nayar,4,4,15.535400159870893
3864,-0.4466037596476445,Ramganga,2,2,2.4517594124178403
4004,-0.44523286708179166,Tamasa,3,3,8.207599196302816
3497,-0.4447169354528626,Yamuna,1,1,0.9551290849882629
3867,-0.4443835385231605,Bahalla,5,5,5.920942002394367
4443,-0.4443065545869711,Rohini,3,3,6.088038133521127
4736,-0.44160021366518837,Sotwa,4,4,50.809221338967134
3305,-0.43977037844444794,Yamuna,1,1,1.211527486021127
3375,-0.437241556108461,Pahuj,4,4,23.708332013849766
4759,-0.4369964489130434,Sotwa,4,4,35.81587645492958
3483,-0.4342821257703355,Rihand,3,3,16.957603782629107
3802,-0.4338361138561831,Ganga,1,1,6.130382831068076
3498,-0.4326651115257451,Karwan,4,4,1.8590441253286385
3809,-0.4305640373316223,Kali,3,3,72.31492584859156
3380,-0.43015427669607537,Sengur,4,4,22.80271497206573
4737,-0.42950038687256015,Sotwa,4,4,64.29965579647887
3958,-0.42667345419411645,Gomti,2,2,209.11067489788732
3805,-0.4242014909222907,Kali,3,3,2.2761005834448356
3957,-0.4231000779195558,Gomti,2,2,195.94277189436622
3895,-0.4189932743512293,Ramganga,2,2,42.00411342758216
4743,-0.4189416334256353,Jamwar,5,5,7.3687302109976525
3814,-0.41821863769453416,Ganga,1,1,2.3412719621948357
3981,-0.4182128147051066,Sai,3,3,4.759915889565728
3859,-0.41783380815013094,Ramganga,2,2,197.23441072652582
4401,-0.4176310506275754,Ganga,1,1,1742.5965895187792
3947,-0.4169360057995857,Ganga,1,1,9.8654828814554
3537,-0.4168418629017879,Karwan,4,4,5.906119957089201
3944,-0.4167672916858469,Tamasa,3,3,6.0286803031572775
4399,-0.4167545790463947,Ghaghara,1,1,1733.9082224765257
4397,-0.41489848227594345,Ghaghara,1,1,1704.2366641197182
3536,-0.4148382850402675,Karwan,4,4,1.2676088839788733
4435,-0.4141132082405399,Ghaghara,1,1,1697.050153157277
