seg_id,min_year,min_flow_m3s,river_name,tier,updated_tier,long_term_mean,max_year,max_flow_m3s,min_decade
4021,1966,2.9047272166666667,Gomti,2,2,12.541431040140845,1961,31.371262891666664,1960
4023,1966,1.4529189416666668,Gomti,2,2,6.440173275481221,1961,15.992756866666667,1960
4025,2020,0.5602954175,Ghaghara,1,1,3.346268769706573,1971,8.203834025,2020
4029,1966,8.816529733333333,Ghaghara,1,1,29.192939293896714,1971,69.183148,1960
4030,1966,12.791032025,Ghaghara,1,1,36.276223938380284,1981,78.408896125,1960
4031,1966,10.587224466666667,Ghaghara,1,1,33.76024160140845,1971,79.87021533333333,1960
4032,2014,340.0822591666667,Ghaghara,1,1,867.0911922112675,2021,1326.310785,2010
4033,2014,369.4312425,Ghaghara,1,1,904.0418467441315,1983,1384.3478258333332,2010
4034,2014,384.40465,Ghaghara,1,1,922.657431076291,1983,1416.9105925000001,2010
4035,1998,0.84428277,Ganga,1,1,5.492465128978873,2018,15.286339,1990
4036,2015,11.953454391666666,Belan,3,3,44.224511029460096,2022,93.56204,2010
4037,2007,2141.046,Ganga,1,1,4590.164227887324,1961,8035.824733333334,2000
4038,2007,2146.5012391666664,Ganga,1,1,4611.746859941314,1961,8061.882116666667,2000
4039,1998,1.3310186358333334,Ganga,1,1,5.420130295492958,2019,14.261190999999998,1990
4040,2005,0.7269378016666667,Ganga,1,1,3.9965299301877937,1955,11.902783641666668,2000
4041,2007,1.3581374916666666,Varuna,4,4,5.205285282417841,1955,11.748635519166667,2000
4042,1997,430.4362708333333,Ganga,1,1,1185.3689886150235,1961,2036.35761,1990
4043,1997,432.1053641666667,Ganga,1,1,1189.8935582629108,1961,2042.47666,1990
4044,2007,1133.7411616666666,Yamuna,1,1,3142.212830492958,1961,5753.222769166667,2000
4045,1979,2047.7332,Ganga,1,1,4337.680865551643,1961,7802.217958333334,1970
4046,1965,1.3937305541666667,Gomti,2,2,4.5637067642723,1960,9.464447261666667,1960
4047,1987,2.129708716666667,Gomti,2,2,7.132793411220657,1960,14.142685241666667,1980
4048,1987,6.504517133333334,Gomti,2,2,19.810354246478873,1960,43.76151351666667,1980
4049,1966,0.9248841075,Gomti,2,2,2.8980645050000002,1960,7.4352805675,1960
4050,1991,105.67589025,Sharda,2,2,331.19407525704224,2000,656.9098093333333,1990
4051,1998,1.5755535833333332,Belan,3,3,7.250984888908451,2018,19.473719,1990
4053,2007,1.1467072558333333,Belan,3,3,4.401862761995305,1994,9.8998187775,2000
4054,2007,2.8843726833333334,Belan,3,3,11.030430270539906,1994,24.07399976666667,2000
4055,2015,8.02550255,Belan,3,3,29.42581235422535,2018,71.55399,2010
4056,2015,27.5740275,Gopat,4,4,98.89067794307512,2018,189.11946,2010
4057,2015,162.40138075000002,Son,2,2,425.1079083521127,1994,782.0958529999999,2010
4058,2015,192.91355750000002,Son,2,2,536.385633129108,1994,991.9318446666666,2010
4059,2015,1.2474348716666668,Gorma,5,5,5.590268234530517,1994,12.708518816666666,2010
