dam_name,dam_lat,dam_lon,state,local_river,capacity_mcm,YearOfCompletion,YearSource,assigned_seg_id,assigned_river,match_method,snap_dist_km
Singhpur Dam,24.7572,80.5581,Madhya Pradesh,Local,2.771,1962.0,"NRLD_2019 (score=0.60, method=first_word_match)",4098.0,Satna,tier3_nearest,11.89
Harridih Dam,23.2414,81.0789,Madhya Pradesh,Local,0.304,1962.0,"NRLD_2019 (score=0.60, method=first_word_match)",4372.0,Johilla,tier1_existing,0.946164
Daroli Dam,23.3522,79.4114,Madhya Pradesh,Kenkra Nalla,4.86,1962.0,"NRLD_2019 (score=0.60, method=first_word_match)",4308.0,Bearma,tier3_nearest,6.32
Hathaikheda Dam,23.2683,77.4978,Madhya Pradesh,Ajnar,16.277,1960.0,"NRLD_2019 (score=0.60, method=first_word_match)",4191.0,Ajmar,tier3_nearest,11.7
Ram Sagar Dam,25.6742,78.3992,Madhya Pradesh,Nicholi,5.866,1963.0,"NRLD_2019 (score=0.60, method=first_word_match)",3454.0,Sindh,tier3_nearest,14.43
Goratal Dam,24.9719,79.4553,Madhya Pradesh,Goratal,11.25,1963.0,"NRLD_2019 (score=0.60, method=first_word_match)",4141.0,Dhasan,tier3_nearest,11.58
Chhuhiya Dam,24.5783,81.81,Madhya Pradesh,Local,0.568,1963.0,"NRLD_2019 (score=0.60, method=first_word_match)",4057.0,Son,tier3_nearest,14.19
Pdamasagar Dam,25.0008,78.9519,Madhya Pradesh,Local,1.911,1963.0,"NRLD_2019 (score=0.60, method=first_word_match)",,,unassigned,21.81
Belgaon Dam,23.7297,79.7531,Madhya Pradesh,Local Nalla,0.3,1964.0,"NRLD_2019 (score=0.60, method=first_word_match)",4288.0,Bearma,tier3_nearest,9.28
Madarkha Bandhi Dam,25.0875,79.6,Madhya Pradesh,Manyara,1.07,1964.0,"NRLD_2019 (score=0.60, method=first_word_match)",4140.0,Urmal,tier1_existing,1.4756340000000001
Chandania Dam,23.1808,81.3392,Madhya Pradesh,Murna Nalla,1.228,1964.0,"NRLD_2019 (score=0.60, method=first_word_match)",4384.0,Son,tier3_nearest,12.16
Jambar Dam,23.5506,77.755,Madhya Pradesh,Local,1.32,1964.0,"NRLD_2019 (score=0.60, method=first_word_match)",4192.0,Halali,tier1_existing,1.691085
Simrar Dam,23.7225,80.4258,Madhya Pradesh,Simrar,12.93,1964.0,"NRLD_2019 (score=0.60, method=first_word_match)",4300.0,Katni,tier3_nearest,12.85
