seg_id,early_dry_mean,late_dry_mean,abs_change_m3s,pct_change,river_name,tier,updated_tier,long_term_mean,dry_mk_trend,dry_mk_p_value,dry_sens_slope_pct_yr
3244,1.4336191408125,1.4832125068548387,0.04959336604233866,3.459312493151545,Sota,4,4,2.3032243041431926,no trend,0.8894646599057274,0.029629973122383482
3595,5.61803343125,5.812668823387097,0.1946353921370969,3.4644755058673793,Lakundar,4,4,25.09977030915493,no trend,0.8348600876973751,0.03664660950144771
3583,2.5626234981250002,2.6524281629032256,0.08980466477822535,3.5044033914436867,Dudhi,5,5,12.349148350821597,no trend,0.7658422334580033,0.03508748293015609
3666,9.917481006875,10.26853163064516,0.35105062377015983,3.53971561454773,Chambal,2,2,37.25965158673709,no trend,0.9841594261303772,0.002302935970088721
4179,47.394066775,49.09023947580645,1.69617270080645,3.578871399365053,Betwa,2,2,241.33904607159624,no trend,0.773430533540979,-0.02799927241681746
4199,2.7299328093749997,2.8279523822580646,0.09801957288306484,3.590548915579567,Sagar,5,5,12.783119051877934,no trend,0.9367000897482891,-0.0060842561181781865
3567,25.10555625,26.008563157258067,0.9030069072580673,3.5968408676787127,Parvan,4,4,118.48502397887324,no trend,0.9841594261303772,0.0019748248708311065
3623,76.466070025,79.2627179032258,2.796647878225812,3.657371010843724,Chambal,2,2,294.9961044448357,no trend,0.9367000897482891,-0.012011121457859576
3767,0.7466948796249999,0.7740804621774193,0.027385582552419407,3.6675733689472745,Bamnidai,5,5,3.2200688427230046,no trend,0.9209218347701116,0.01788248625173362
2916,2.391334398125,2.4790922435483873,0.08775784542338716,3.66982741904254,Ichamati,4,4,9.292011441314553,no trend,0.4099608311090899,0.07033416966500555
3633,34.558263768749995,35.839266903225806,1.2810031344758102,3.706792514368685,Chambal,2,2,136.62855053755868,no trend,0.9445989408361049,0.007666987257149094
3291,3.172151445,3.2902844838709675,0.1181330388709676,3.7240668019545833,Yamuna,1,1,11.943506646244131,no trend,0.803993983918406,-0.0363182410851343
1552,1.3005160799375,1.3489519632258065,0.0484358832883065,3.7243586631112033,Padma,1,1,5.238577650774649,no trend,0.41562472802453176,0.05862964026911586
5180,115.52532435,119.85901461290322,4.333690262903218,3.751290279673833,Gandak,2,2,659.5975800974179,no trend,0.17069881126634723,0.18019807846003894
3643,0.6808344164375,0.706463180483871,0.025628764046371044,3.764316760083139,Retam,4,4,2.7038175522652583,no trend,0.7810405515546475,-0.05225705479666119
4865,3.01767646125,3.131438162096774,0.11376170084677373,3.7698441932920357,Ganga,1,1,9.709751566314553,no trend,0.42709019490083033,0.06456908836912068
4177,42.46356311875,44.066567080645164,1.603003961895162,3.7750104893749423,Betwa,2,2,220.74220289906103,no trend,0.7810405515546475,-0.02943664191456583
4122,99.35095175625,103.11685558064516,3.765903824395167,3.790506037259236,Ken,2,2,416.2960502535211,no trend,0.6337121751995711,-0.06943422694816699
