seg_id,trend,p_value,tau,sens_slope_m3s_yr,intercept,long_term_mean_m3s,norm_slope_pct_yr,total_change_pct,river_name,tier,updated_tier
3656,no trend,0.5498843783585525,-0.048513302034428794,-0.055088186320662744,29.20700629355019,31.596165379356055,-0.17435086080621554,-12.55326197804752,Shipra,4,4
5168,no trend,0.4453347120023703,-0.061815336463223784,-0.031703527965686235,18.429078551115197,18.222513231734006,-0.17397999695495028,-12.52655978075642,Harohar,3,3
3344,no trend,0.5116514737677185,-0.053208137715179966,-0.05060785852226306,26.42597768587367,29.18474182799874,-0.17340519515479075,-12.485174051144934,Sindh,3,3
4173,no trend,0.468865731616952,-0.05868544600938967,-0.02654635445932537,14.931275874972716,15.38097202850379,-0.17259217694518955,-12.426636740053647,Kevtan,5,5
3247,no trend,0.6097495826361756,-0.041471048513302036,-0.003942430168650804,2.0030338418204368,2.294901081517256,-0.17179085409835165,-12.36894149508132,Chalak,5,5
5274,no trend,0.4629192952859549,-0.0594679186228482,-0.012019757387916885,7.271551199771049,7.035816471573022,-0.17083671008873808,-12.300243126389141,Sunder,5,5
1496,no trend,0.3481310090480654,-0.07589984350547731,-0.09789484296433618,60.1998579669006,57.537517744013044,-0.1701408868555551,-12.250143853599967,Padma,1,1
3784,no trend,0.5498843783585525,-0.048513302034428794,-0.008504727267616198,4.642000672167042,5.025905119471801,-0.16921782376405078,-12.183683311011656,Thalera,5,5
4552,no trend,0.5563907438061542,-0.04773082942097027,-0.022291611458333457,13.943685460937505,13.202653498853115,-0.1688419033360974,-12.156617040199013,Ganga,1,1
3467,no trend,0.4992226615640707,-0.054773082942097026,-0.09739595042945909,56.547258573579136,57.84642354832701,-0.1683698739786237,-12.122630926460907,Sindh,3,3
4439,no trend,0.468865731616952,-0.05868544600938967,-0.024514983897707218,15.59854352420194,14.582111990488215,-0.16811682638082967,-12.104411499419736,Rohini,3,3
5160,no trend,0.3789212200049066,-0.07120500782472614,-0.2251119435322229,131.28164357872723,133.9057259971591,-0.16811226096261098,-12.10408278930799,Harohar,3,3
5162,no trend,0.4629192952859549,-0.0594679186228482,-0.00877260300925925,5.086138338912037,5.256912347571548,-0.16687748300219973,-12.01517877615838,Chalki,5,5
4752,no trend,0.4930689350662878,-0.05555555555555555,-0.04705066412393165,29.940613501399575,28.350929818728954,-0.16595809881639026,-11.948983114780098,Bhada,5,5
4099,no trend,0.4280462475857827,-0.06416275430359937,-0.01899495323609996,12.28246178988155,11.46631646952862,-0.165658721234308,-11.927427928870175,Gudne,5,5
3910,no trend,0.3736762927138684,-0.07198748043818466,-0.8558035538194442,531.8283107439236,516.9119335036826,-0.16556080414292607,-11.920377898290678,Ganga,1,1
5163,no trend,0.38954613981986475,-0.06964006259780908,-0.011917466810897427,6.853212480120192,7.2028494032796715,-0.16545489352409687,-11.912752333734975,Kunda,5,5
5140,no trend,0.4629192952859549,-0.0594679186228482,-0.3053851493055559,181.3834261336806,184.61655499305553,-0.16541590721213661,-11.909945319273836,Harohar,3,3
3337,no trend,0.6097495826361756,-0.041471048513302036,-0.07210462586144181,43.54723584308118,43.9298223459596,-0.16413593775453444,-11.81778751832648,Kuno,4,4
4824,no trend,0.16005089535061545,-0.1134585289514867,-0.03971964285087715,25.93896141287281,24.329125387636783,-0.16325964134765525,-11.754694177031178,Ratua,5,5
4846,no trend,0.08615834146201906,-0.13849765258215962,-0.11649414990179588,76.92498923818042,71.51983010895412,-0.16288370613342812,-11.727626841606824,Mechi,4,4
5103,no trend,0.4224917781104891,-0.0649452269170579,-0.37263479782196884,234.16250698934655,232.1654129014099,-0.16050401012152915,-11.556288728750099,Garkhe,5,5
4659,no trend,0.3684765339307223,-0.07276995305164319,-0.5020006926587295,322.23221192271825,313.19127420223066,-0.16028565736304093,-11.540567330138947,Ghaghara,1,1
7670,no trend,0.5498843783585525,-0.048513302034428794,-0.01319618077196185,6.362517950737979,8.241416875517679,-0.16012029207214373,-11.52866102919435,Mendha,3,3
4750,no trend,0.5242399029172564,-0.051643192488262914,-0.20551520928030084,134.35986280445067,129.71133515219907,-0.15844043933335197,-11.407711632001343,Rapti,2,2
3785,no trend,0.5369851790476614,-0.050078247261345854,-0.010121688118686724,6.096993594880045,6.408669194017255,-0.15793744086737566,-11.371495742451048,Manoli,5,5
3909,no trend,0.43382633879160837,-0.06338028169014084,-0.8018452901785754,521.9904244680062,510.27720790593435,-0.15713915451351873,-11.314019124973349,Ganga,1,1
3487,no trend,0.5827852327137752,-0.04460093896713615,-0.07908215181536113,48.26900272277865,50.71696817723064,-0.15592838976298476,-11.226844062934903,Sindh,3,3
4549,no trend,0.45701514595618686,-0.06025039123630673,-0.014754913333333253,9.813993194166663,9.484988078703704,-0.15556069455123425,-11.200370007688866,Madad,5,5
4588,no trend,0.5054169484685467,-0.0539906103286385,-0.016861867291958876,11.296385593031205,10.917222942203283,-0.1544519827178308,-11.120542755683818,Auranga,4,4
3565,no trend,0.6937574902034176,-0.032081377151799685,-0.008253542430555604,4.79096295545139,5.427392318816288,-0.1520719702156283,-10.949181855525238,Kali Sindh,3,3
3417,no trend,0.5563907438061542,-0.04773082942097027,-0.005990207754880891,2.9830605377982717,3.972291605321969,-0.15079979895875148,-10.857585525030107,Mashi,4,4
5091,no trend,0.5961979541459173,-0.04303599374021909,-0.01099198057413598,7.032149231215161,7.327920520933292,-0.15000136181520743,-10.800098050694935,Balan,5,5
4888,no trend,0.5563907438061542,-0.04773082942097027,-0.016535262127976187,11.110308893043156,11.058477847664143,-0.14952566126873323,-10.765847611348793,Kosi,2,2
3683,no trend,0.3949258884499005,-0.06885758998435054,-0.013881761323529425,9.765731926985293,9.293193497706229,-0.14937557608109375,-10.75504147783875,Padma,1,1
3753,no trend,0.6937574902034176,-0.032081377151799685,-0.006809336019557832,4.51116770286097,4.642373808429082,-0.14667789153889832,-10.560808190800678,Andheri,4,4
3345,no trend,0.5827852327137752,-0.04460093896713615,-0.056715626193693636,34.74750037987612,38.97496711511995,-0.14551808607348732,-10.477302197291086,Sindh,3,3
3842,no trend,0.5305931142576203,-0.05086071987480438,-0.03072672570779916,22.84936919179354,21.140628740688133,-0.14534442700212233,-10.464798744152807,Gaula,4,4
2954,no trend,0.5761320910860721,-0.04538341158059468,-0.01797317551224388,13.014000955684658,12.48387683996212,-0.143971105632106,-10.365919605511632,Gumani,4,4
4830,no trend,0.41689018199117855,-0.06572769953051644,-0.05262983940145507,38.76768105291832,36.722517041929706,-0.14331762537236326,-10.318869026810155,Sui,5,5
3624,no trend,0.6234363808595347,-0.03990610328638498,-0.02074405,13.471689191666668,14.52206886707702,-0.14284500500496064,-10.284840360357165,Kural,5,5
4851,no trend,0.22985671735809987,-0.09702660406885759,-0.09144185564228023,68.90653977113429,64.7360291745686,-0.14125342071212943,-10.170246291273319,Nagar,5,5
5158,no trend,0.41689018199117855,-0.06572769953051644,-0.12154804656478584,85.56985931971656,86.19367533780513,-0.14101736129527132,-10.153250013259534,Phalgu,3,3
5100,no trend,0.5827852327137752,-0.04460093896713615,-0.019786678523024577,14.31811173756737,14.185729469938972,-0.13948298228127495,-10.042774724251796,Ganga,1,1
3678,no trend,0.3096290813784828,-0.08215962441314555,-0.050017795399515376,36.53904591168279,35.953739520728114,-0.1391170878641957,-10.016430326222089,Padma,1,1
4077,no trend,0.5433363227635004,-0.04929577464788732,-0.013807643814814814,10.395942767925925,9.931558950195706,-0.13902796010230326,-10.010013127365834,Tons,2,2
4047,no trend,0.5563907438061542,-0.04773082942097027,-0.00979338176476302,7.154086994315754,7.07707016929293,-0.13838186608995398,-9.963494358476687,Gomti,2,2
3567,no trend,0.7594077836691946,-0.025039123630672927,-0.1616159616263444,109.44635630440189,117.42702807081228,-0.1376309732788986,-9.909430076080698,Parvan,4,4
3346,no trend,0.6442115023036941,-0.03755868544600939,-0.004399882347386914,3.2260798712489027,3.1978831696064813,-0.1375873386871837,-9.906288385477227,Kendar,5,5
4561,no trend,0.48088440255926135,-0.05712050078247261,-0.07578472408999004,54.21603370519465,55.27553698151304,-0.13710355109772399,-9.871455679036128,Phalgu,3,3
3758,no trend,0.7226862070785358,-0.028951486697965573,-0.013637026971726125,9.95413406582961,10.210652082787249,-0.13355686650723253,-9.616094388520743,Andheri,4,4
5084,no trend,0.38954613981986475,-0.06964006259780908,-0.008155020696289286,6.279555530551603,6.161073538275463,-0.13236363185127545,-9.530181493291833,Padma,1,1
5093,no trend,0.4453347120023703,-0.061815336463223784,-0.07943587554985321,59.77855687368646,60.67541951473064,-0.13091936765359807,-9.42619447105906,Phalgu,3,3
4842,no trend,0.17812023020364975,-0.10876369327073553,-0.05967536318773503,48.3007286806646,45.58234502092804,-0.13091771202279417,-9.426075265641181,Mechi,4,4
3908,no trend,0.47485419172648413,-0.057902973395931145,-0.6553506473544977,507.24651448108466,501.6473960950127,-0.13063969881154797,-9.406058314431453,Ganga,1,1
3754,no trend,0.7742550657745815,-0.023474178403755867,-0.00632557364930148,4.704698201633536,4.8444653305408245,-0.13057320504335837,-9.401270763121802,Retili,5,5
3620,no trend,0.6442115023036941,-0.03755868544600939,-0.0032495460450191536,2.26297617584818,2.537034344290825,-0.12808443261052882,-9.222079147958075,Thalera,5,5
