seg_id,river_name,tier,intervention_year,n_upstream_dams,total_upstream_capacity_mcm,pre_years,post_years,pre_mean_m3s,post_mean_m3s,pre_cv,post_cv,pct_change_post_vs_pre,mann_whitney_U,p_value,dam_effect,a6_category,a6_severity
3378,Gambhir,99,1957,3,205.42,6,66,15.6267,15.7317,0.806,0.6447,0.67,184.0,0.7885283606820909,No Significant Change,Drying,Moderate Drying
3381,Pahuj,99,1985,6,81.92,34,38,43.7528,26.146,0.434,0.577,-40.24,994.0,8.86595394016112e-05,Significant Reduction,Drying,Severe Drying
3385,Gambhir,99,1963,5,373.23,12,60,53.9323,33.9898,0.5236,0.5859,-36.98,521.0,0.015302209694913983,Significant Reduction,Drying,Moderate Drying
3388,Sindh,99,1985,34,472.83,34,38,218.0353,161.5033,0.3861,0.4294,-25.93,904.0,0.003678104304638776,Significant Reduction,Drying,Moderate Drying
3389,Yamuna,99,1963,13,536.55,12,60,142.8744,98.6201,0.4949,0.5655,-30.97,516.0,0.018793757750594723,Significant Reduction,Drying,Moderate Drying
3390,Sindh,99,1985,40,595.88,34,38,276.1,197.8319,0.3859,0.4375,-28.35,920.0,0.0020355167462149577,Significant Reduction,Drying,Moderate Drying
3391,Yamuna,99,1963,16,1139.17,12,60,692.5053,480.4922,0.2813,0.4223,-30.62,562.0,0.002329478658518178,Significant Reduction,Drying,Moderate Drying
3392,Yamuna,99,1963,245,14162.57,12,60,1958.5215,1579.4664,0.3496,0.3789,-19.35,493.0,0.04527741914138302,Significant Reduction,Stable,Stable
3393,Yamuna,99,1985,285,14758.45,34,38,2045.5801,1742.9161,0.3355,0.3949,-14.8,825.0,0.0440695967434888,Significant Reduction,Drying,Mild Drying
3402,Morel,99,1959,4,138.69,8,64,17.9592,19.4915,0.7849,0.7808,8.53,239.0,0.7717169620090447,No Significant Change,Stable,Stable
3408,Morel,99,1959,5,151.62,8,64,26.0137,27.2862,0.7783,0.7483,4.89,241.0,0.7987756480919068,No Significant Change,Stable,Stable
3411,Morel,99,1959,5,151.62,8,64,28.4918,29.5255,0.7794,0.7377,3.63,246.0,0.8673813189616796,No Significant Change,Stable,Stable
3413,Gambhir,99,1958,1,25.98,7,65,3.9248,3.742,0.9066,0.6454,-4.66,212.0,0.7802257774007577,No Significant Change,Stable,Stable
3415,Banas,99,1958,66,2547.16,7,65,201.7516,175.9812,0.6095,0.5815,-12.77,253.0,0.6415664219940542,No Significant Change,Stable,Stable
3424,Mashi,99,1960,4,111.29,9,63,22.508,18.6358,0.7524,0.853,-17.2,323.0,0.5066568524624671,No Significant Change,Stable,Stable
3425,Mashi,99,1960,4,111.29,9,63,24.2357,19.8588,0.7536,0.8482,-18.06,326.0,0.4745267273261997,No Significant Change,Stable,Stable
3430,Dai,99,1981,1,11.49,30,42,7.4673,6.7185,0.789,0.8707,-10.03,724.0,0.2855379513907642,No Significant Change,Stable,Stable
3432,Banas,99,1999,58,2286.29,48,24,124.6897,138.544,0.6006,0.7179,11.11,585.0,0.9191246419695164,No Significant Change,Stable,Stable
3433,Mashi,99,1960,5,158.43,9,63,29.5122,24.9092,0.707,0.8232,-15.6,327.0,0.46407079146325214,No Significant Change,Stable,Stable
3434,Banas,99,1960,63,2444.72,9,63,182.7268,156.1673,0.5248,0.6131,-14.54,337.0,0.36682848106487875,No Significant Change,Stable,Stable
3435,Galwa,99,1960,1,48.73,9,63,7.4304,5.5266,0.7343,0.7143,-25.62,348.0,0.27583350066733925,No Significant Change,Stable,Stable
3440,Banas,99,1959,56,1178.96,8,64,130.3115,114.493,0.6224,0.6699,-12.14,286.0,0.6035368055134861,No Significant Change,Stable,Stable
3454,Sindh,99,1963,24,343.67,12,60,130.0232,104.4042,0.4309,0.4485,-19.7,459.0,0.13666394178668384,No Significant Change,Stable,Stable
3458,Ghurari,99,1986,1,9.92,35,37,5.5367,4.77,0.5439,0.524,-13.85,742.0,0.2895706817860303,No Significant Change,Stable,Stable
3462,Betwa,99,1967,64,4232.59,16,56,403.5483,368.3862,0.3662,0.4194,-8.71,513.0,0.3823117136248291,No Significant Change,Drying,Mild Drying
